Date_ms;response_time_ms;rtd_no
7504.02;1;sip_route
7513.02;0;sip_route
7524.02;1;sip_route
7534.02;1;sip_route
7544.02;1;sip_route
7552.02;0;sip_route
7564.02;0;sip_route
7573.02;1;sip_route
7584.02;1;sip_route
7593.02;1;sip_route
7603.02;1;sip_route
7614.02;1;sip_route
7624.02;0;sip_route
7633.02;1;sip_route
7643.02;0;sip_route
7654.02;1;sip_route
7664.02;0;sip_route
7674.02;1;sip_route
7682.02;0;sip_route
7694.02;0;sip_route
7703.02;1;sip_route
7713.02;1;sip_route
7723.02;1;sip_route
7733.02;1;sip_route
7744.02;1;sip_route
7754.02;0;sip_route
7764.02;1;sip_route
7774.02;0;sip_route
7783.02;1;sip_route
7794.02;1;sip_route
7804.02;0;sip_route
7813.02;1;sip_route
7823.02;0;sip_route
7834.02;1;sip_route
7842.02;0;sip_route
7852.02;0;sip_route
7863.02;1;sip_route
7873.02;1;sip_route
7883.02;1;sip_route
7893.02;1;sip_route
7902.02;0;sip_route
7914.02;1;sip_route
7925.02;1;sip_route
7933.02;1;sip_route
7943.02;1;sip_route
7953.02;1;sip_route
7963.02;1;sip_route
7974.02;1;sip_route
7984.02;1;sip_route
7994.02;1;sip_route
8004.02;0;sip_route
8014.02;1;sip_route
8023.02;0;sip_route
8034.02;1;sip_route
8043.02;1;sip_route
8053.02;1;sip_route
8063.02;1;sip_route
8073.02;1;sip_route
8083.02;1;sip_route
8092.02;0;sip_route
8104.02;0;sip_route
8114.02;1;sip_route
8124.02;1;sip_route
8134.02;1;sip_route
8144.02;1;sip_route
8154.02;1;sip_route
8164.02;1;sip_route
8176.02;3;sip_route
8183.02;1;sip_route
8194.02;1;sip_route
8204.02;0;sip_route
8212.02;0;sip_route
8223.02;0;sip_route
8234.02;1;sip_route
8243.02;1;sip_route
8253.02;1;sip_route
8263.02;0;sip_route
8273.02;1;sip_route
8283.02;0;sip_route
8293.02;1;sip_route
8304.02;1;sip_route
8313.02;0;sip_route
8323.02;1;sip_route
8333.02;0;sip_route
8344.03;1;sip_route
8354.03;1;sip_route
8364.03;1;sip_route
8374.03;0;sip_route
8383.03;1;sip_route
8392.03;0;sip_route
8404.03;0;sip_route
8414.03;1;sip_route
8424.03;1;sip_route
8434.03;1;sip_route
8444.03;1;sip_route
8453.03;1;sip_route
8464.03;1;sip_route
8474.03;0;sip_route
8484.03;1;sip_route
8494.03;1;sip_route
8503.03;1;sip_route
8513.03;1;sip_route
8523.03;1;sip_route
8533.03;1;sip_route
8544.03;1;sip_route
8555.03;1;sip_route
8563.03;1;sip_route
8574.03;1;sip_route
8583.03;0;sip_route
8593.03;1;sip_route
8602.03;0;sip_route
8614.03;1;sip_route
8624.03;1;sip_route
8634.03;1;sip_route
8644.03;0;sip_route
8654.03;1;sip_route
8662.03;0;sip_route
8674.03;0;sip_route
8684.03;1;sip_route
8694.03;1;sip_route
8702.03;0;sip_route
8713.03;0;sip_route
8722.03;0;sip_route
8734.03;0;sip_route
8744.03;1;sip_route
8753.03;1;sip_route
8765.03;2;sip_route
8775.03;2;sip_route
8785.03;1;sip_route
8793.03;1;sip_route
8806.03;3;sip_route
8816.03;3;sip_route
8825.03;3;sip_route
8835.03;1;sip_route
8843.03;1;sip_route
8854.03;1;sip_route
8863.03;0;sip_route
8874.03;1;sip_route
8885.03;1;sip_route
8893.03;1;sip_route
8904.03;1;sip_route
8914.03;1;sip_route
8924.03;1;sip_route
8934.03;1;sip_route
8943.03;0;sip_route
8954.03;0;sip_route
8964.03;1;sip_route
8972.03;0;sip_route
8984.03;1;sip_route
8994.03;1;sip_route
9004.03;0;sip_route
9013.03;1;sip_route
9024.03;1;sip_route
9034.03;0;sip_route
9043.03;1;sip_route
9053.03;1;sip_route
9064.03;1;sip_route
9072.03;0;sip_route
9084.03;1;sip_route
9094.03;1;sip_route
9102.03;1;sip_route
9114.03;1;sip_route
9122.03;0;sip_route
9134.03;0;sip_route
9144.03;1;sip_route
9154.03;1;sip_route
9163.03;1;sip_route
9173.03;0;sip_route
9184.03;2;sip_route
9193.03;0;sip_route
9203.03;1;sip_route
9212.03;0;sip_route
9224.03;1;sip_route
